Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	4	22.00
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Frozen Raspberries	5.79	12 oz bag	3	17.37
Wegmans Organic White Sourdough Sandwich Bread	6.89	21 oz	1	6.89
Wegmans Frozen Mango Chunks	3.79	16 oz	2	7.58
Wegmans Onions, Yellow	1.79	2 lb bag	3	5.37
Wegmans Iodized Salt	1.49	26 oz	2	2.98
Wegmans Ready To Use Mini Phyllo Pastry Shells, 15 Count	3.49	1.9 oz	3	10.47
Wegmans 8 Inch Gordita Style Fajita Tortillas, 8 Pack	2.09	15 oz	4	8.36
Wegmans Organic White Corn Tortilla Chips with Sea Salt	3.79	16 oz	2	7.58
Wegmans Organic Extra Firm Tofu	2.29	14 oz	4	9.16
Wegmans Marshmallows	1.19	10 oz	1	1.19
Old El Paso Enchilada Sauce, Red, Mild	2.69	10 oz	2	5.38
La Banderita Corn Tortillas, White	2.89	27.5 oz	2	5.78
