Sun-Maid Raisins, California Sun-Dried	5.59	20 oz	2	11.18
Wegmans Brown Sugar BBQ Sauce	2.89	20 oz	2	5.78
Justin's Peanut Butter Cups, Organic, Dark Chocolate, Mini	5.79	4.7 oz	2	11.58
Wegmans Almond Butter Filled Pretzel Nuggets	8.09	18 oz	1	8.09
Wegmans Peanut Butter Filled Pretzel Nuggets	5.79	24 oz	6	34.74
Morton Salt, Iodized	2.09	26 oz	1	2.09
Earth Balance Buttery Spread, Original	7.29	15 oz	1	7.29
Silk Soymilk, Organic, Unsweet	5.19	64 fl oz	6	31.14
WESTSOY Soymilk, Organic, Unsweetened, Plain	3.79	32 fl oz	12	45.48
Wegmans 100% Pure Squeeze Honey	5.59	16 oz	1	5.59
Wegmans Bath Tissue, 12 Rolls	13.79	560 sq ft	1	13.79
Ziploc Seal Top Bags, Freezer, Quart	7.49	38 ct	2	14.98
Organic Bananas, Bunch	0.79/lb	about 2.0 lbs	4.94 lb	3.90
