Sadaf Falafel Mix	5.39	12 oz	3	16.17
Joseph's Pita Bread, Original	3.49	4 each	3	10.47
Organic Italian Parsley	2.09	1 lb bunch	1	2.09
Dawn Ultra Dishwashing Liquid	4.99	28 fl oz	1	4.99
Wegmans Basil Pesto	13.79/lb	about 0.5 lbs	0.48 lb	6.62
Wegmans Potatoes, Russet	3.49	5 lb	1	3.49
Wegmans Auto Dishwasher Detergent Gel, 70 oz. Free and Clear, Plant Powered	5.79	70 oz	3	17.37
Wegmans Fancy Shredded Parmesan Cheese	2.59	6 oz	3	7.77
Wegmans Shredded Whole Milk Mozzarella Cheese	4.39	16 oz	3	13.17
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	1	6.89
Wegmans Baby Spinach Salad	2.29	6 oz bag	2	4.58
Wegmans Salted Sweet Cream Butter Quarters	4.09	1 lb	3	12.27
Wegmans Wild Caught Sockeye Salmon Fillets, FAMILY PACK	28.99	32 oz	1	28.99
Wegmans Pasta, Cheese Ravioli, FAMILY PACK	6.39	48 oz	1	6.39
Wegmans Lemons	0.79	1 each	6	4.74
