Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Miyoko's Creamery Cheese, Organic, Mozzarella	8.69	8 oz	1	8.69
Wegmans Italian Classics Fresh Mozzarella Cheese	10.69	32 oz	1	10.69
Wegmans Shredded Whole Milk Mozzarella Cheese	4.99	16 oz	2	9.98
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Granny Smith Apples, Bagged	6.39	3 lb	1	6.39
Cascade Complete Dishwasher Detergent, Citrus Breeze Scent	8.69	75 oz	3	26.07
Red Seedless Grapes, Bagged	3.49/lb	about 2.0 lbs	1.71 lb	5.97
Bananas, Each	0.59/lb	about 0.25 lbs	2.52 lb	1.49
Strawberries	4.59	16 oz Container	1	4.59
Wegmans Onions, Yellow	1.99	2 lb bag	1	1.99
Wegmans Organic Soft 100% Whole Wheat Bread	3.49	20 oz	1	3.49
TopCare Health Isopropyl Alcohol, 70%	4.09	10 fl oz	1	4.09
Wegmans Mixed Peppers, 3 Pack	5.19	16 oz	1	5.19
Yama Moto Yama Seaweed, Roasted	4.59	10 ct	1	4.59
Yams	1.19/lb	about 0.85 lbs	1.45 lb	1.73
Seeded Cucumbers	0.79	1 each	1	0.79
Turkey Hill Simply Natural Ice Cream, Premium, Chocolate Chocolate Chip	5.79	1.44 qt	2	11.58
Land O Lakes Butter, Salted	5.79	1 lb	2	11.58
