Goya Premium Black Beans	2.19	29 oz	8	17.52
Domino Premium Cane Powdered Sugar	1.29	1 lb	2	2.58
King Arthur Baking Company Flour, Whole Wheat	5.29	5 lb	1	5.29
Silk Organic Unsweetened Soy Milk	3.69	64 fl oz	4	14.76
Spice World Garlic, Minced	4.89	32 oz	1	4.89
Mission Super Soft Restaurant Style Medium Soft Taco Flour Tortillas	3.69	10 each	5	18.45
Olivia's Organics Baby Spinach	6.09	16 oz container	1	6.09
Green Onions (Scallions)	0.99	1 bunch	1	0.99
Market Basket Flour Tortillas Burrito Size 10"	3.09	19 oz	2	6.18
