Wegmans Milk, Vitamin D, Whole	2.99	1 gal	5	14.95
Daisy Sour Cream	6.39	3 lb	2	12.78
Wegmans Heavy Cream	7.49	32 fl oz	1	7.49
Wegmans Parmesan Grated Cheese	4.09	8 oz	3	12.27
Wegmans Shredded Whole Milk Mozzarella Cheese	4.39	16 oz	3	13.17
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	6	13.74
Wegmans Salted Sweet Cream Butter Quarters	4.09	1 lb	4	16.36
Wegmans Granny Smith Apples, Bagged	6.09	per lb	2	12.18
Bananas, Each	0.59/lb	about 0.25 lbs	2.02 lb	1.19
Plums, Bagged	4.59	2 lb	1	4.59
Wegmans Bran Flakes Cereal	2.89	17.3 oz	10	28.90
Wegmans Frozen Raspberries	5.19	12 oz bag	4	20.76
Wegmans Sticks Pretzels	1.79	10 oz	1	1.79
Outshine Fruit Bars, No Sugar Added, Strawberry/Tangerine/Raspberry	7.49	12 ct	2	14.98
Peaches, Yellow, FAMILY PACK	4.09	2 lb	1	4.09
Angry Orchard Crisp Apple Hard Cider 12/12 oz bottles	19.59	12 x 12 fl oz	1	19.59
New Belgium Brewing Beer, Variety Pack 12/12 oz cans	17.29	12 x 12 fl oz	1	17.29
Wegmans Sliced Pepperoni, Italian Style	3.49	6 oz	1	3.49
Greenhouse Grown Red Sweet Peppers	3.49/lb	about 0.5 lbs	0.9 lb	3.14
Wegmans Organic Baby Spinach, FAMILY PACK	5.19	11 oz container	1	5.19
BelGioioso Cheese, Fresh Mozzarella, Thin Sliced	6.89	16 x 16 oz	2	13.78
Wegmans Garbanzo Beans	0.79	15.5 oz	15	11.85
Old El Paso Refried Beans, Vegetarian	1.99	16 oz	6	11.94
