Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	2	11.00
Wegmans Heavy Cream	6.59	32 fl oz	1	6.59
Wegmans Italian Classics Fresh Mozzarella Cheese	8.39	32 oz	1	8.39
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Turkey Hill Frozen Dairy Dessert, Moose Tracks	4.59	1.44 qt	1	4.59
Peaches, Yellow, FAMILY PACK	5.79	2 lb	1	5.79
Bananas, Each	0.59/lb	~ 0.25 lbs	2.18 lb	1.29
Wegmans Lemons	0.79	1 each	2	1.58
Strawberries	3.49	16 oz Container	1	3.49
Wegmans Black Beans	0.89	15.5 oz	12	10.68
Wegmans Onions, Yellow	1.99	2 lb bag	2	3.98
Red Seedless Grapes, Bagged	3.49/lb	~ 2 lbs	2.13 lb	7.43
Breyers Ice Cream, Chocolate	5.79	48 oz	2	11.58
