Wegmans Wild Caught Sockeye Salmon Fillets, FAMILY PACK	28.99	32 oz	1	28.99
Yams	1.19/lb	about 0.6 lbs	4.75 lb	5.65
Wegmans Dark Brown Sugar	1.79	32 oz	2	3.58
Wegmans Broccoli Crowns	2.29/lb	about 0.5 lbs	3.2 lb	7.33
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Fancy Shredded Parmesan Cheese	2.59	6 oz	3	7.77
Angry Orchard Crisp Apple Hard Cider 12/12 oz bottles	19.59	12 x 12 fl oz	1	19.59
Wegmans Salted Sweet Cream Butter Quarters	4.59	1 lb	3	13.77
Wegmans Rinse Aid, 16 fl. oz. Free and Clear, Plant Powered	4.59	16 fl oz	1	4.59
