Wegmans Broccoli Crowns	2.29/lb	about 0.5 lbs	2.0 lb	4.58
Wegmans Sweetened Dried Cranberries, FAMILY PACK	7.19	30 oz	1	7.19
Wegmans Creamy Peanut Butter	4.39	40 oz	3	13.17
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	5	11.45
Hellmann's Mayonnaise, Real	5.79	20 fl oz	1	5.79
Wegmans Salted Sweet Cream Butter Quarters	4.09	1 lb	3	12.27
McCormick® Garlic Powder	8.69	8.8 oz	1	8.69
Wegmans Organic Unsweetened Coconut Milk	2.59	13.5 fl oz	3	7.77
Wegmans Potatoes, Russet	3.49	5 lb	1	3.49
Wegmans Onions, Yellow	2.29	2 lb	1	2.29
Kikkoman Soy Sauce	5.19	20 fl oz	1	5.19
Wegmans Garbanzo Beans	0.79	15.5 oz	4	3.16
