Wegmans Organic Extra Firm Tofu	2.29	14 oz	6	13.74
Wegmans Original Kimchi	6.89	14 oz	1	6.89
Wegmans Classic Entertainment Water Crackers	3.49	4.4 oz	2	6.98
Red Grapefruit	1.79	1 count bag	2	3.58
Wegmans Organic Vegetable Dumplings, FAMILY PACK	13.29	32 oz	1	13.29
Wegmans Organic Chicken Dumplings, FAMILY PACK	13.29	32 oz	1	13.29
Cheez-It Crackers Cheez-It Baked Snack Cheese Crackers, Original, 12.4oz	4.09	12 oz	1	4.09
Wegmans Milk, 2% Reduced Fat	2.99	1 gal	2	5.98
Wegmans Angel Hair Pasta	1.19	16 oz	4	4.76
Wegmans Bone-In Country Style Pork Loin Ribs	4.59/lb	about 2.0 lbs	2.03 lb	9.32
Oranges, Sweet Valencia	5.19	4 lb	1	5.19
Organic Sweet Basil, Family Pack	5.79	3 oz container	1	5.79
