Wegmans Heavy Cream	6.59	32 fl oz	2	13.18
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	2	11.00
Wegmans Shredded Whole Milk Mozzarella Cheese	4.99	16 oz	1	4.99
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	5	14.95
Wegmans Pure Vanilla Extract	7.49	2 fl oz	1	7.49
Wegmans Cheese, Cheddar, Extra Sharp, White	8.09	32 oz	3	24.27
Wegmans Organic Soft 100% Whole Wheat Bread	3.49	20 oz	1	3.49
Wegmans Canola Oil	4.59	48 fl oz	2	9.18
Wegmans Creamy Peanut Butter	4.59	40 oz	2	9.18
Peaches, Yellow, FAMILY PACK	5.79	2 lb	1	5.79
Bagged Nectarines, FAMILY PACK	5.79	2 lb	1	5.79
Wegmans Farfalle Pasta	1.19	16 oz	12	14.28
Wegmans Radiatore Pasta	1.19	16 oz	6	7.14
Wegmans Pasta Shells	1.19	16 oz	6	7.14
Wegmans Wide Egg Noodles Pasta	2.29	12 oz	2	4.58
Wegmans Granny Smith Apples, Bagged	6.89	3 lb	1	6.89
Bananas, Each	0.59/lb	about 0.25 lbs	2.17 lb	1.28
Turkey Hill Frozen Dairy Dessert, Moose Tracks	4.59	1.44 qt	1	4.59
Wegmans Cream Cheese, Bar, Original	1.99	8 oz	2	3.98
Tomatoes On-The-Vine	2.69/lb	about 1.45 lbs	1.53 lb	4.12
