Wegmans Milk, Vitamin D, Whole	3.09	1 gal	3	9.27
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	10	22.90
Wegmans Italian Classics Fresh Mozzarella Cheese	11.49	32 oz	1	11.49
Triscuit Crackers, Original, Family Size	5.19	12 x 12.5 oz	5	25.95
Wegmans Organic Baby Spinach, FAMILY PACK	5.19	11 oz container	1	5.19
Wegmans Medium Shells Pasta	1.19	16 oz	8	9.52
Wegmans Onions, Yellow	1.79	2 lb bag	1	1.79
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	2	11.00
Wegmans Frozen Raspberries	5.79	12 oz bag	3	17.37
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Low-Moisture Whole Milk Mozzarella Shredded Cheese	2.59	8 oz	8	20.72
Pepperidge Farm Farmhouse Farmhouse Sourdough Bread	5.19	24 oz	1	5.19
