Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Honey Graham Crackers	2.89	14.4 oz	1	2.89
Wegmans Kitchen Bags, Tall, Drawstring, Unscented, 13 Gallon	10.39	50 ct	3	31.17
Wegmans Heavy Cream	6.89	32 fl oz	1	6.89
Wegmans Cheese, Cheddar, Extra Sharp, Yellow	8.09	32 oz	4	32.36
Miyoko's Creamery Cheese, Organic, Mozzarella	9.79	8 oz	1	9.79
Wegmans Shredded Whole Milk Mozzarella Cheese	4.99	16 oz	4	19.96
Tomatoes On-The-Vine	2.29/lb	about 1.45 lbs	1.8 lb	4.12
Wegmans Basil	4.09	2 oz	1	4.09
Bananas, Each	0.59/lb	about 0.25 lbs	0.86 lb	0.51
Strawberries	5.19	16 oz Container	1	5.19
Maggi Sweet Chili Sauce, Mild	3.49	10.1 fl oz	1	3.49
Smucker's Preserves, Apricot	4.09	18 oz	1	4.09
Wegmans Organic Extra Firm Tofu	2.29	14 oz	4	9.16
Wegmans Cleaned & Cut Microwavable Trimmed Green Beans	3.49	12 oz bag	1	3.49
Bianco & Sons Sausage Sweet Italian Sausage	5.79	16 oz	1	5.79
Wegmans Wild Caught Sockeye Salmon Fillets, FAMILY PACK	28.99	32 oz	1	28.99
Wegmans Canola Oil	4.49	48 fl oz	4	17.96
