Breyers Ice Cream, Chocolate	5.79	48 oz	2	10.08
Perdue Chicken Breast Nuggets	9.19	1.81 lb	1	9.19
Wegmans Hot Dog Rolls, 8 Pack	1.79	14 oz	1	1.79
Wegmans Sticks Pretzels	1.79	10 oz	2	3.58
Wegmans Lemons	0.79	1 each	2	1.58
Wegmans Iodized Salt	1.49	26 oz	4	5.96
Wegmans Bran Flakes Cereal	2.89	17.3 oz	4	11.56
Wegmans Neapolitan Ice Cream	4.09	48 fl oz	1	4.09
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Wegmans Onions, Yellow	1.99	2 lb bag	2	3.98
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	4	22.00
Wegmans Organic Mango Chunks, FAMILY PACK	8.69	32 oz	1	8.69
Wegmans Heavy Cream	6.59	32 fl oz	1	6.59
Wegmans Tomatoes, Grape	2.89	1 pint container	1	2.89
Ball Park Beef Hot Dogs	4.39	8 ct	1	4.39
Wegmans 6-Inch Gordita Style Taco Tortillas, 8 Count	1.59	10 oz	5	7.95
