Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	2	5.78
Wegmans Creamy Peanut Butter	4.39	40 oz	6	26.34
Joy Sugar Cones, Made with Oreo	4.09	12 each	1	4.09
Ritz Crackers, The Original, 12 Fresh Stacks, Family Size	5.59	12 ct	1	5.59
Wegmans Parmesan & Romano Grated Cheese	4.09	8 oz	6	24.54
Wegmans Onions, Yellow	1.79	2 lb bag	2	3.58
Wegmans Heavy Cream	7.49	32 fl oz	1	7.49
Wegmans Apple Cider	6.89	128 fl oz	1	6.89
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	1	4.59
Wegmans Organic Yellow Corn Tortilla Chips with Sea Salt	3.79	16 oz	1	3.79
Bananas, Each	0.59/lb	about 0.25 lbs	0.75 lb	0.44
Wegmans Bran Flakes Cereal	2.89	17.3 oz	8	23.12
Original Cheerios Oat Cereal, Whole Grain, Toasted, Family Size	6.89	18 oz	4	26.56
