Wegmans Mint Chip Ice Cream	4.09	48 fl oz	1	4.09
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Baked Sea Salt Pita Chips	3.49	8 oz	1	3.49
Wegmans Medium Salsa	2.99	24 oz	6	17.94
Wegmans Frozen Chopped Onions	2.29	10 oz	4	9.16
Spice Classics® Bay Leaves	1.49	0.16 oz	1	1.49
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Wegmans Frozen French Style Green Beans	1.59	16 oz bag	1	1.59
Wegmans Medium Ripe Pitted Black Olives	1.99	15.6 oz	15	23.88
Wegmans Original Hummus, FAMILY PACK	7.49	32 oz	1	7.49
Angry Orchard Crisp Apple Hard Cider 12/12 oz bottles	19.59	12 x 12 fl oz	1	19.59
Wegmans Sparkling Water Coconut Lime Sparkling Water 12 Pack Cans	4.29	12 x 12 fl oz	2	8.58
Wegmans Sparkling Water Lime Mint Sparkling Water 12 Pack Cans	4.29	12 x 12 fl oz	1	4.29
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	1	4.59
Wegmans Sparkling Water Raspberry Sparkling Water 12 Pack Cans	4.29	12 x 12 fl oz	1	4.29
Wegmans Organic Baby Spinach, FAMILY PACK	5.19	11 oz container	1	5.19
Wegmans Onions, Yellow	1.79	2 lb bag	1	1.79
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
