Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Peaches, Yellow, FAMILY PACK	3.49	2 lb	1	3.49
Plums, Bagged	4.59	2 lb	1	4.59
Wegmans Plum (Roma) Tomatoes	2.29/lb	about 0.22 lbs	0.78 lb	1.79
Bananas, Each	0.59/lb	about 0.25 lbs	2.26 lb	1.33
Wegmans Soft Bagels, Plain	4.59	20 oz	1	4.59
Wegmans Cream Cheese, Bar, Original	1.99	8 oz	1	1.99
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	6	13.74
Wegmans Shredded Whole Milk Mozzarella Cheese	4.39	16 oz	2	8.78
Oreo Chocolate Sandwich Cookies, Mint Flavor Creme, Family Size	4.89	20 oz	1	4.89
Wegmans Italian Classics Mild Italian Sausage	6.89/lb	about 1.32 lbs	1.32 lb	9.09
Wegmans Granny Smith Apples, Bagged	6.09	per lb	2	12.18
Wegmans Organic Baby Spinach, FAMILY PACK	5.19	11 oz container	1	5.19
Beyond Sausage Links, Plant-Based, Brat Original	8.69	4 each	1	8.69
