Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	2	11.00
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans 100% Juice, Lemon	3.49	32 fl oz	3	10.47
Wegmans Plastic Party Cups, 18oz	17.29	240 ct	2	34.58
ReaLime 100% Lime Juice, Natural Strength	2.69	8 fl oz	1	2.69
Arctic Glacier Ice, Bag	6.89	16 lb	1	6.89
Wegmans Heavy Cream	6.89	32 fl oz	1	6.89
Wegmans Facial Tissues, 12 Boxes, FAMILY PACK	16.09	1920 ct	2	32.18
Wegmans Strong & Soft Bath Tissue, 30 Rolls, FAMILY PACK	22.99	1400 sq ft	3	68.97
Italian Parsley	1.79	1 bunch	4	7.16
Tomatoes On-The-Vine	2.29/lb	about 1.45 lbs	11.2 lb	25.65
Goya Quinoa	6.39	12 oz	1	6.39
Wegmans Original Hummus, FAMILY PACK	7.49	32 oz	3	22.47
Wegmans Jubilee Olives, Pits Removed	14.99/lb	about 0.5 lbs	1.17 lb	17.54
Wegmans Organic White Pita Bread	4.39	12.7 oz	5	21.95
Turkey Hill Ice Cream, Dutch Chocolate, Premium	4.59	1.44 qt	1	4.59
EatPastry Chocolate Chip Cookie Dough, Vegan, Bakeable, Edible	6.89	14 oz	1	6.89
Wegmans Fancy Shredded Parmesan Cheese	2.59	6 oz	4	10.36
Red Seedless Grapes, Bagged	3.49/lb	about 2.0 lbs	2.18 lb	7.61
Dulcinea Watermelon, Seedless, Mini	5.79	6 ct	1	5.79
Wegmans Paper Towels, Choose-A-Size, FAMILY PACK, 12 Rolls	20.69	627.3 sq ft	1	20.69
