Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Wegmans Onions, Yellow	1.79	2 lb bag	1	1.79
Wegmans Soft Bagels, Plain	4.59	20 oz	1	4.59
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Wegmans Shredded Whole Milk Mozzarella Cheese	4.99	16 oz	2	9.98
Wegmans Sticks Pretzels	1.79	10 oz	2	3.58
Wegmans Sweetened Dried Cranberries, FAMILY PACK	7.19	30 oz	1	7.19
Wegmans Snack Bags, Color Seal Zipper Top, Snack Size	3.79	100 ct	1	3.79
Wegmans Freezer Bags, Slider Top, Quart Size, FAMILY PACK	8.09	70 ct	1	8.09
Bananas, Each	0.59/lb	about 0.25 lbs	1.32 lb	0.78
Hershey's Dutched Cocoa, Special Dark	4.39	8 oz	2	8.78
LAOGANMA Spicy Chili Crisp	4.59	7.41 oz	1	4.59
Wegmans Bone-In Chicken Thighs, FAMILY PACK	1.49/lb	about 4.7 lbs	5.59 lb	8.33
Wegmans Mixed Peppers, FAMILY PACK	6.39	2 lb	1	6.39
