Dixie Everyday Printed Paper Plates, 8 1/2 Inch Lunch Or Light Dinner Size Plates, Microwaveable And Disposable, 90 Count	8.09	90 ct	1	8.09
EatPastry Cookie Dough, Chocolate Chip	6.69	14 oz	1	6.69
Wegmans Facial Tissues, 12 Boxes, FAMILY PACK	16.09	1920 ct	1	16.09
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	2	5.98
Wegmans Chocolate Ice Cream	4.09	48 fl oz	1	4.09
Wegmans Mint Chip Ice Cream	4.09	48 fl oz	1	4.09
Wegmans Basmati Rice	8.09	5 lb	2	16.18
Wegmans Oven-Baked Meatballs	4.99	12 oz	1	4.99
Wegmans Reclosable Storage Bags, Gallon Size	3.79	38 ct	1	3.79
Wegmans Fancy Shredded Parmesan Cheese	2.59	6 oz	3	7.77
Wegmans Cheese, Cheddar, Extra Sharp, White	8.09	32 oz	2	16.18
Wegmans Baby Spinach Salad	2.29	6 oz bag	2	4.58
Wegmans Diced Tomatoes	1.39	28 oz	10	13.90
Wegmans Salted Sweet Cream Butter Quarters	4.09	1 lb	2	8.18
Wegmans Part-Skim Mozzarella Cheese Sticks, 12 Count	4.09	12 oz	1	4.09
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Toll House Cookie Dough, Chocolate Chip	6.09	30 oz	1	6.09
