Italian Parsley	1.79	1 bunch	1	1.79
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	1	4.59
Wegmans Hamburger Rolls, 8 Pack	1.39	14 oz	1	1.39
Sweet Corn	0.59	1 ct	8	4.72
Baby Eggplant	3.49/lb	about 0.25 lbs	1.28 lb	4.47
Wegmans Basil, Fresh Living	4.59	1 each	1	4.59
Wegmans Ground Beef 80/20	6.09/lb	about 1.0 lb	1.07 lb	6.52
Wegmans Chicken Thighs- Boneless Skin-On- Raised without Antibiotics	6.49/lb	about 1.0 lb	1.34 lb	8.70
Red Seedless Grapes, Bagged	2.29/lb	about 2.0 lbs	1.91 lb	4.37
Tomatoes On-The-Vine	2.29/lb	about 1.45 lbs	1.51 lb	3.46
Wegmans Organic Steel Cut Oats	5.19	24 oz	2	10.38
Wegmans Cheese, Feta, Crumbled, Plain, FAMILY PACK	8.69	16 oz	1	8.69
Wegmans Creamy Peanut Butter	4.39	40 oz	4	17.56
Beyond Cookout Classic Burger Patties, Plant-Based	17.29	8 x 4 oz	1	17.29
Wegmans Frozen Cut Leaf Spinach	2.09	16 oz	3	6.27
Wegmans Frozen Wild Blueberries, FAMILY PACK	11.49	48 oz	1	11.49
Bananas, Each	0.59/lb	about 0.25 lbs	2.43 lb	1.43
Wegmans White Granulated Sugar	2.89	4 lb	4	11.56
Wegmans Gordita Style Fajita Tortillas, 8 Inch, 16 Count, FAMILY PACK	3.49	30.5 oz	2	6.98
Wegmans Plastic Party Cups, 18oz	14.99	240 ct	1	14.99
Wegmans Diced Tomatoes	1.79	28 oz	6	10.74
Avocados, Bagged	4.59	4 each	1	4.59
Talenti Sorbetto, Dairy-Free, Roman Raspberry	4.59	1 pt	1	4.59
Wegmans 6 Roll Paper Towels, Full Sheet	12.69	317.9 sq ft	2	25.38
Tillamook French vanilla	5.49		1	5.49
