PRODUCT ID	PRODUCT	PRICE/SIZE	QTY SHIPPED	SUBTOTAL
FLOUR2	Medallion All-Purpose Flour	$35.23 / 2 X 25 LB	1	$35.23
OR800	Cara Cara Oranges	$45.70 / 40 LB	1	$45.70
SPD2CC	Semi Sweet Chocolate Chips	$101.42 / 4000 CT X 30 LB	2	$202.84
TOFU1C	Extra Firm Tofu	$16.48 / 12 X 12 OZ	1	$16.48
