Wegmans Milk, Vitamin D, Whole	2.99	1 gal	2	5.98
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	2	11.00
Bananas, Each	0.59/lb	about 0.25 lbs	2.0 lb	1.18
Blueberries, FAMILY PACK	8.09	18 oz container	1	8.09
Strawberries	4.09	16 oz Container	1	4.09
Wegmans Unsalted Dry Roasted Peanuts	3.39	16 oz	4	13.56
Turkey Hill Frozen Dairy Dessert, Moose Tracks	4.59	1.44 qt	1	4.59
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	4	9.16
Wegmans Lemons	0.79	1 each	2	1.58
Wegmans Granny Smith Apples, Bagged	5.79	3 lb	1	5.79
Wegmans Waffles Pretzels	1.79	10 oz	1	1.79
