Wegmans Regular Scent Bleach	3.49	43 fl oz	1	3.49
Wegmans Salted Sweet Cream Butter Quarters	4.59	1 lb	3	13.77
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	6	33.00
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Frozen Mango Chunks	3.79	16 oz	1	3.79
Red Ruby Swiss Chard	3.49	1 bunch	2	6.98
Wegmans Kale Greens, Cut	4.09	16 oz bag	1	4.09
Bianco & Sons Sausage Sweet Italian Sausage	5.79	16 oz	1	5.79
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Wegmans Cream Cheese, Bar, Original	1.99	8 oz	2	3.98
Wegmans Hazel Nuttin' Chocolate Flavored Hazelnut Spread	6.39	26.5 oz	3	19.17
Wegmans Baby Cut Carrots	1.49	16 oz bag	1	1.49
Wegmans Wild Caught Sockeye Salmon Fillets, FAMILY PACK	28.99	32 oz	1	28.99
Wegmans Cheese, Feta, in Brine, Plain	4.59	8 oz	1	4.59
Bananas, Each	0.59/lb	about 0.25 lbs	2.34 lb	1.38
Red Seedless Grapes, Bagged	3.49/lb	about 2.0 lbs	3.7 lb	12.91
