Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Miyoko's Creamery Cheese, Organic, Mozzarella	9.99	8 oz	1	9.99
Wegmans Italian Classics Fresh Mozzarella Cheese	10.39	32 oz	1	10.39
Wegmans Bran Flakes Cereal	2.89	17.3 oz	6	17.34
Wegmans Creamy Peanut Butter	4.39	40 oz	4	17.56
Wegmans Marshmallows	1.19	10 oz	1	1.19
Bananas, Each	0.59/lb	about 0.25 lbs	3.15 lb	1.86
Wegmans Sticks Pretzels	1.79	10 oz	2	3.58
Wegmans Part Skim Ricotta Cheese	5.09	32 oz	1	5.09
Wegmans Lasagna Pasta	1.99	16 oz	1	1.99
Wegmans Organic Extra Firm Tofu	2.29	14 oz	4	9.16
Wegmans Tomato Basil Pasta Sauce	1.19	24 oz	5	5.95
Wegmans Shredded Whole Milk Mozzarella Cheese	4.99	16 oz	2	9.98
Wegmans Basil Pesto	13.79/lb	about 0.5 lbs	0.33 lb	4.55
