Wegmans Milk, Vitamin D, Whole	2.99	1 gal	5	14.95
Wegmans Chocolate Ice Cream	4.09	48 fl oz	1	4.09
Turkey Hill Frozen Dairy Dessert, Moose Tracks	4.59	1.44 qt	1	4.59
Wegmans Cannellini Beans	0.89	15.5 oz	15	13.35
Wegmans Bran Flakes Cereal	2.89	17.3 oz	6	17.34
Bananas, Each	0.59/lb	about 0.25 lbs	3.4 lb	2.01
Red Seedless Grapes, Bagged	2.89/lb	about 2.0 lbs	2.77 lb	8.01
Wegmans Organic Extra Firm Tofu	2.29	14 oz	4	9.16
Cheerios Cereal, Large Size	4.59	12 oz	4	18.36
Wegmans Organic 100% Whole Wheat Sandwich Bread	6.89	23 oz	1	6.89
