Wegmans Fresh Cut Pineapple, Rings	4.09	10 oz	1	4.09
Oreo Chocolate Sandwich Cookies, Milk's Favorite Cookie	4.39	14.3 oz	1	4.39
Wegmans Organic Ginger Stir-In Paste	4.59	2.8 oz	1	4.59
Wegmans Ketchup	1.79	20 oz	1	1.79
Wegmans Storage Bags, Slider Top, Gallon Size, FAMILY PACK	8.09	60 ct	1	8.09
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Heavy Cream	7.49	32 fl oz	2	14.98
Wegmans Parmesan Grated Cheese	4.09	8 oz	3	12.27
Kikkoman Soy Sauce	5.19	20 fl oz	2	10.38
Wegmans Cookies & Cream Ice Cream	2.29	48 fl oz	1	2.29
Wegmans Mint Chip Ice Cream	2.29	48 fl oz	1	2.29
Wegmans Chocolate Ice Cream	2.29	48 fl oz	1	2.29
Nectarines, Bagged	4.09	2 lb	1	4.09
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Daisy Sour Cream	5.39	3 lb	1	5.39
Wegmans Ground Beef 80/20	6.09/lb	about 1.0 lb	1.04 lb	6.33
Wegmans Limes, Bagged	5.19	32 oz	1	5.19
Greenhouse Grown Red Sweet Peppers	3.49/lb	about 0.5 lbs	1.02 lb	3.56
