Wegmans Cabbage, Shredded, Red	2.29	10 oz bag	2	4.58
Blue Dragon Spring Roll Wrappers	3.49	4.7 oz	7	24.43
Organic Sweet Basil, Family Pack	5.79	3 oz container	2	11.58
Wegmans Mint Bunch	2.79	1 each	3	8.37
Wegmans Frozen Chopped Onions	2.09	10 oz	4	8.36
Wegmans Organic Unsweetened Coconut Milk	2.69	13.5 fl oz	3	8.07
Sweet Corn	0.69	1 ct	5	3.45
Wegmans Organic Extra Firm Tofu	2.29	14 oz	6	13.74
Wegmans Organic White Rice Vermicelli Noodles	3.49	6.35 oz	3	10.47
Outshine Fruit Bars, Assorted	8.09	12 each	3	24.27
