Wegmans Milk, Vitamin D, Whole	3.09	1 gal	4	12.36
Wegmans Cage Free Large Eggs, 18 count	6.79	36 oz	2	10.00
Wegmans Salted Sweet Cream Butter Quarters	4.59	1 lb	8	36.72
Wegmans Heavy Cream	6.89	32 fl oz	1	6.89
Wegmans Onions, Yellow	1.79	2 lb bag	3	5.37
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	2	9.18
Wegmans Potatoes, Russet	4.09	5 lb	1	4.09
Original Cheerios Cereal, Large Size	4.59	12 oz	3	12.77
Wegmans Wild Caught Sockeye Salmon Fillets, FAMILY PACK	28.99	32 oz	1	28.99
Wegmans Sliced Pepperoni, Italian Style	3.49	6 oz	2	6.98
Wegmans Mixed Peppers, FAMILY PACK	6.39	2 lb	1	6.39
Organic Green Onions	1.79	1 bunch	1	1.79
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	6	13.74
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Wegmans Garbanzo Beans	0.99	15.5 oz	11	10.89
Wegmans Crisp N Sweet Whole Kernel Corn	0.69	15.25 oz can	15	10.35
Wegmans Cannellini Beans	0.99	15.5 oz	10	9.90
Wegmans Tomato Basil Pasta Sauce	1.19	24 oz	10	11.90
Wegmans Medium Salsa	2.99	24 oz	6	17.94
Dawn Ultra Dishwashing Liquid	11.29	75 fl oz	5	56.45
Wegmans Organic Soft 100% Whole Wheat Bread	3.49	20 oz	1	3.49
Wegmans Fancy Shredded Parmesan Cheese	2.59	6 oz	4	10.36
