Wegmans Soy Sauce	3.79	11.4 fl oz	4	15.16
Wegmans Fresh Scent Dishwasher Detergent Gel	5.79	70 fl oz	2	11.58
Red Seedless Grapes, Bagged	2.29/lb	about 2.0 lbs	1.91 lb	4.37
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Wegmans Salted Sweet Cream Butter Quarters	4.59	1 lb	4	18.36
Wegmans Wild Caught Sockeye Salmon Fillets, FAMILY PACK	28.99	32 oz	1	28.99
Wegmans Frozen Wild Blueberries, FAMILY PACK	12.69	48 oz	1	12.69
Wegmans Broccoli Crowns	2.29/lb	about 0.5 lbs	1.17 lb	2.68
Wegmans Organic Firm Tofu	2.29	14 oz	4	9.16
Wegmans Milk, 2% Reduced Fat	2.99	1 gal	2	5.98
