Wegmans Milk, Vitamin D, Whole	3.09	1 gal	4	12.36
Sunsweet Amazin Prunes, Pitted	8.09	16 oz	1	8.09
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Wegmans Great Northern Beans	0.99	15.5 oz	6	5.94
Bananas, Each	0.59/lb	about 0.25 lbs	2.54 lb	1.50
Wegmans Sharp Cheddar Cheese	2.29	8 oz	3	6.87
Wegmans Heavy Cream	7.49	32 fl oz	1	7.49
Wegmans Lasagna Pasta	1.99	16 oz	4	7.96
Wegmans Part Skim Ricotta Cheese	6.09	32 oz	1	6.09
Wegmans Low-Moisture Part-Skim Mozzarella Shredded Cheese	4.99	16 oz	1	4.99
Wegmans Italian Classics Mild Pork Italian Sausage	3.49	16 oz	4	13.96
Wegmans Microwaveable Chopped Spinach	1.39	12 oz	2	2.78
Wegmans French Baguette	4.39	12 oz	2	8.78
Wegmans Tomatoes, Grape	2.89	1 pint container	1	2.89
Wegmans Romaine Salad	2.89	10 oz	1	2.89
Chex Corn Cereal, Gluten Free, Oven Toasted	3.49	12 oz	2	6.98
Wegmans French Blend Salad	3.09	7 oz container	1	3.09
