Sukhi's Samosas, Potato and Peas	8.69	10 oz	5	43.45
Wegmans Cauliflower	3.49	1 ct	3	10.47
Wegmans Frozen Sweet Peas, FAMILY PACK	6.89	80 oz	3	20.67
Wegmans Frozen Mango Chunks	3.79	16 oz	2	7.58
Wegmans Jasmine Rice	8.09	5 lb	3	24.27
Wegmans Organic Plant-Based Buttery Spread Sticks, 4 Sticks	5.79	16 oz	1	5.79
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
McCormick® Extract, Vanilla Flavor, Premium	3.09	2 oz	1	3.09
Wegmans 100% Pure Squeeze Honey	5.59	16 oz	1	5.59
Hershey's Special Dark Dutched Cocoa, Special Dark	5.79	8 oz	1	5.79
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	2	5.98
Wegmans Organic Unsweetened Coconut Milk	2.69	13.5 fl oz	4	10.76
Wegmans Frozen Chopped Onions	2.09	10 oz	5	10.45
Granny Smith Apples	3.09/lb	~ 0.5 lbs	3.17 lb	9.80
Thai Kitchen Green Curry Paste, Authentic, Hot	4.99	4 oz	1	4.99
Wegmans Basil, Fresh Living	4.59	1 each	1	4.59
Wegmans Fresh Cut Pineapple, Cored	7.89	24 oz	1	7.89
