Bananas, Each	0.59/lb	about 0.25 lbs	2.73 lb	1.61
Wegmans Bagged Clementines, FAMILY PACK	8.09	5 lb	1	8.09
Wegmans Salted Sweet Cream Butter Quarters	4.59	1 lb	3	13.77
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	3	6.87
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	1	4.59
Wegmans Bran Flakes Cereal	2.89	17.3 oz	10	28.90
Wheat Chex Wheat Cereal, Oven Toasted	4.99	14 oz	2	9.98
Wegmans Peanut Oil	8.09	32 fl oz	2	16.18
Wegmans Linguine Pasta	1.19	16 oz	7	8.33
Wegmans Farfalle Pasta	1.19	16 oz	9	10.71
Wegmans White Granulated Sugar	2.99	4 lb	2	5.98
Wegmans Neapolitan Ice Cream	4.09	48 fl oz	1	4.09
