Wegmans Milk, Vitamin D, Whole	2.99	1 gal	2	5.98
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Wegmans Potatoes, Russet	4.09	5 lb	1	4.09
Wegmans Italian Classics Garlic, Minced, in Water	8.09	32 oz	2	16.18
Wegmans Farfalle Pasta	1.19	16 oz	10	11.90
Wegmans Radiatore Pasta	1.19	16 oz	10	11.90
Wegmans Heavy Cream	7.49	32 fl oz	1	7.49
Bananas, Each	0.59/lb	about 0.25 lbs	2.33 lb	1.37
Wegmans Avocado	2.29	1 each	2	4.58
Wegmans Gordita Style Fajita Tortillas, 8 Inch, 16 Count, FAMILY PACK	3.49	30.5 oz	3	10.47
Wegmans All Purpose Unbleached Flour	2.29	5 lb	3	6.87
Goya Cooking Wine, Vino De Cocinar	3.39	25.4 fl oz	4	13.56
Wegmans Tomato Basil Pasta Sauce	1.19	24 oz	6	7.14
Wegmans Cannellini Beans	0.79	15.5 oz	10	7.90
Old El Paso Refried Beans, Vegetarian	1.99	16 oz	5	9.95
Organic Onions, Yellow	5.79	1 lb bag	2	11.58
Wegmans Organic Large Brown Eggs, 12 Count, Cage Free	5.19	24 oz	2	8.00
