Wegmans Diced Sweet Potato	4.09	16 oz container	1	4.09
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	1	4.59
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	3	8.97
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	3	17.89
Wegmans Cheese Ravioli Pasta	4.59	25 oz	1	4.59
Seeded Cucumbers	0.79	1 each	1	0.79
Joy Sugar Cones, Oreo Cookie Pieces	4.09	12 ct	1	4.09
Joy Ice Cream Cups	4.09	3.5 oz	1	4.09
Wegmans Fresh Scent Dishwasher Detergent Gel	5.79	70 fl oz	4	23.16
Wegmans Granny Smith Apples, Bagged	6.89	3 lb	1	6.89
Bagged Plums, FAMILY PACK	5.79	2 lb	1	5.79
Locally Grown Peaches	3.49/lb	about 0.5 lbs	2.0 lb	6.98
Wegmans Organic Soft 100% Whole Wheat Bread	3.49	20 oz	1	3.49
Wegmans Bran Flakes Cereal	2.89	17.3 oz	5	14.45
Wegmans Cream Cheese, Bar, Original	1.99	8 oz	2	3.98
Wegmans Heavy Cream	6.59	32 fl oz	2	13.18
Wegmans Chocolate Ice Cream	2.89	48 fl oz	2	5.78
Wegmans Cheese, Cheddar, Extra Sharp, Yellow	8.09	32 oz	1	8.09
