Goya Prime Premium Black Beans	2.89	29 oz	6	17.34
Wegmans Frozen Chopped Onions	2.09	10 oz	10	20.90
Wegmans Organic Spinach, Baby	3.79	5 oz container	1	3.79
Grillo's Pickles Pickle Spears, Fresh, Classic Dill	8.69	32 fl oz	1	8.69
Spice Classics® Basil Leaves	1.49	0.75 oz	2	2.98
WESTSOY Soymilk, Organic, Unsweetened, Plain	3.79	32 fl oz	6	22.74
Silk Soymilk, Organic, Unsweet	5.19	64 fl oz	4	20.76
Wegmans Italian Classics Capers, Capote	2.69	3 fl oz	2	5.38
Wegmans Frozen Cut Leaf Spinach	2.29	16 oz	6	13.74
Wegmans Frozen Raspberries	5.79	12 oz bag	1	5.79
Field Roast Sausages, Plant-Based, Smoked Apple & Sage	6.89	12.95 oz	6	41.34
Beyond Meat Beyond Sausage, Plant-Based Sausage Links, Hot Italian Style	9.19	14 oz	1	9.19
Impossible™ Meatballs, Homestyle	8.69	14 oz	1	8.69
Mission Super Soft Flour Tortillas, Soft Taco, Super Soft	3.79	10 ct	4	15.16
La Banderita Corn Tortillas, White	2.29	18 x 16 oz	3	6.87
Wegmans Italian Classics Garlic, Minced, in Water	8.09	32 oz	1	8.09
Wegmans Peeled Garlic, FAMILY PACK	5.79	16 oz bag	1	5.79
