Wegmans Rotini Pasta	1.19	16 oz	6	7.14
Wegmans Spaghetti Pasta	1.19	16 oz	6	7.14
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Organic Coconut Cream	2.29	5.4 fl oz	4	9.16
Evergreen Coconut Milk	2.29	13.5 oz	4	9.16
Bananas, Each	0.59/lb	about 0.25 lbs	1.0 lb	0.59
Wegmans Bagged Clementines	4.59	2 lb Bag	1	4.59
Perdue Chicken Breast Nuggets	9.19	1.813 lb	1	9.19
Blueberries	4.59	10 oz container	1	4.59
Wegmans Fancy Shredded Parmesan Cheese	2.59	6 oz	3	7.77
Wegmans Organic Bagged Granny Smith Apples, FAMILY PACK	8.69	3 lb	1	8.69
Organic Raspberries, FAMILY PACK	10.39	12 oz	1	10.39
