Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Heavy Cream	7.49	32 fl oz	1	7.49
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	3	18.29
Wegmans Organic Extra Firm Tofu	2.29	14 oz	6	13.74
Joy Ice Cream Cups	3.49	3.5 oz	1	3.49
Old Bay® Classic Seafood Seasoning	6.09	6 fl oz	1	6.09
Wegmans Organic Baby Spinach, FAMILY PACK	5.19	11 oz container	1	5.19
Argo Corn Starch	2.29	16 oz	2	4.58
Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	1	2.89
Wegmans Gordita Style Fajita Tortillas, 8 Inch, 16 Count, FAMILY PACK	3.49	30.5 oz	6	20.94
Wegmans Elbows Pasta	1.19	16 oz	10	11.90
Wegmans Medium Shells Pasta	1.19	16 oz	6	7.14
Wegmans Rotini Pasta	1.19	16 oz	6	7.14
McCormick® Cream of Tartar	6.09	1.5 oz	1	6.09
Wegmans Organic Carrots, FAMILY PACK	5.79	80 oz	1	5.79
Mt. Olive Pickles, Kosher Petite Dills, Fresh Pack	6.79	46 fl oz	1	6.79
Tofurky Sausage, Plant-Based, Italian	5.79	14 oz	3	17.37
Wegmans Onions, Yellow	1.79	2 lb bag	2	3.58
Locally Grown Peaches	3.49/lb	about 0.5 lbs	2.07 lb	7.22
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	1	4.59
Red Onions	2.89/lb	about 0.45 lbs	1.6 lb	4.62
Wegmans 6 Pack Plain Bagels	8.69	21 oz	1	8.69
Lee Kum Kee Chili Oil	3.79	7 oz	2	7.58
Wegmans Thin Spaghetti Pasta	1.19	16 oz	6	7.14
