Wegmans Milk, Vitamin D, Whole	3.09	1 gal	3	9.27
Thai Kitchen Coconut Cream, Unsweetened	5.79	13.7 fl oz	3	17.37
Wegmans Pasta, Cheese Ravioli, FAMILY PACK	6.89	48 oz	1	6.89
Wegmans Kosher Dill Sandwich Slice Pickles	2.89	16 fl oz	1	2.89
Wegmans Organic Soft 100% Whole Wheat Bread	3.49	20 oz	1	3.49
Wegmans Bran Flakes Cereal	2.89	17.3 oz	6	17.34
Wegmans Bagged Clementines	4.59	2 lb Bag	1	4.59
Wegmans Frozen Raspberries	5.79	12 oz bag	3	17.37
Wegmans Organic White Sourdough Sandwich Bread	6.89	21 oz	1	6.89
Bananas, Each	0.59/lb	about 0.25 lbs	1.34 lb	0.79
Wegmans Original Kimchi	6.89	14 oz	1	6.89
