Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Turkey Hill Frozen Dairy Dessert, Moose Tracks	4.59	1.44 qt	1	4.59
Wegmans Unsalted Sweet Cream Butter Sticks	4.59	1 lb	4	18.36
Wegmans Heavy Cream	6.89	32 fl oz	1	6.89
Wegmans Creamy Peanut Butter	4.59	40 oz	5	22.95
Wegmans Cage Free Large Eggs, 18 count	6.89	36 oz	2	13.78
Wegmans Organic Soft 100% Whole Wheat Bread	3.49	20 oz	1	3.49
Bananas, Each	0.59/lb	about 0.25 lbs	1.0 lb	0.59
Wegmans Frozen Raspberries	5.79	12 oz bag	2	11.58
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wheat Chex Wheat Cereal, Oven Toasted	4.99	14 oz	6	28.94
