Wegmans Soft 100% Whole Wheat Bread.	2.89	20 oz	2	5.78
Wegmans Milk, Vitamin D, Whole	3.09	1 gal	4	12.36
Grandma's Molasses, Unsulphured, Original	4.59	12 fl oz	2	9.18
Wegmans 100% Juice, Lemon	3.29	32 fl oz	4	13.16
ReaLime 100% Lime Juice 100% Juice, Lemon	2.69	8 fl oz	6	16.14
Bananas, Each	0.59/lb	about 0.25 lbs	2.12 lb	1.25
Wegmans Bagged Clementines	4.59	2 lb Bag	1	4.59
Wegmans Hazel Nuttin' Chocolate Flavored Hazelnut Spread	6.39	26.5 oz	3	19.17
Wegmans Facial Tissues, 12 Boxes, FAMILY PACK	16.09	1920 ct	2	32.18
Wegmans Cheese, Cheddar, Extra Sharp, White	2.29	8 oz	2	4.58
Hershey's Special Dark Dutched Cocoa, Special Dark	4.59	8 oz	1	4.59
Wegmans All Purpose Unbleached Flour	1.79	5 lb	4	7.16
Wegmans Organic Steel Cut Oats	5.19	24 oz	2	10.38
Upstate Farms Eggnog, Original	4.99	1 qt	1	4.99
