Old El Paso Refried Beans, Vegetarian	1.99	16 oz	5	9.95
Goya Prime Premium Black Beans	2.89	29 oz	3	8.67
Wegmans Gordita Style Fajita Tortillas, 8 Inch, 16 Count, FAMILY PACK	3.49	30.5 oz	3	10.47
Wegmans Organic Blue Corn Tortilla Chips with Sea Salt	3.79	16 oz	3	11.37
Wegmans Pico de Gallo Salsa	6.89	12 oz	2	13.78
Herdez Salsa Verde, Mild	3.49	16 oz	2	6.98
Cholula® Hot Sauce, Original	4.29	5 fl oz	1	4.29
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	2	11.18
Wegmans Mexican Fancy Shredded Cheese, FAMILY PACK	7.49	32 oz	1	7.49
Avocados, Bagged	4.59	4 each	1	4.59
Wegmans Guacamole	6.89	12 oz	3	20.67
Wegmans Mixed Peppers, FAMILY PACK	6.39	2 lb	2	12.78
Wegmans Onions, Yellow	1.79	2 lb bag	1	1.79
Wegmans Bagged Clementines	4.59	2 lb Bag	1	4.59
Wegmans Frozen Raspberries	5.79	12 oz bag	2	11.58
Wegmans Elbows Pasta	1.19	16 oz	6	7.14
Wegmans Rotini Pasta	1.19	16 oz	6	7.14
Wegmans Milk, Vitamin D, Whole	3.09	1 gal	1	3.09
Wegmans Organic Spring Mix	3.49	5 oz container	2	6.98
